id,FirstName,LastName,Biography,Link
5566,"Hans von",Aachen,"German, 1552 - 1615",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=5566
10278,Magdalena,Abakanowicz,"Polish, born 1930",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=10278
3474,"Niccolò dell'",Abate,"Italian, 1509 or 1512 - 1571",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=3474
3474,"Niccolò dell'",Abbate,"Italian, 1509 or 1512 - 1571",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=3474
21155,"Pietro Giovanni",Abbati,"Italian, active 1700/1710",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=21155
19745,"Guido Ubaldo",Abbatini,"Italian, c. 1600 - 1656",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=19745
2855,"Elfriede Martha",Abbe,"American, born 1919",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2855
2856,"Salomon van","Abbé","British, 1883 - 1955",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2856
33127,"William Parker",Abbe,"American, 1916 - 1983",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33127
2337,"Edwin Austin",Abbey,"American, 1852 - 1911",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2337
14725,Giuseppe,Abbiati,"Italian, active 1730s",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=14725
13553,Berenice,Abbott,"American, 1898 - 1991",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=13553
10979,"John White",Abbott,"British, 1763 - 1851",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=10979
22,"Lemuel Francis",Abbott,"British, c. 1755/1761 - 1802",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=22
2857,Nobuya,Abe,"Japanese, born 1913",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2857
34210,Mike,Abel,"American, 1904 - 1946",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34210
34210,Myer,Abel,"American, 1904 - 1946",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34210
33106,"Ida York",Abelman,"American, born 1910",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33106
2338,"Jacobus Theodorus",Abels,"Dutch, 1803 - 1866",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2338
17830,Abel-Truchet,"","French, 1857 - 1919",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=17830
7194,"Harry G.",Aberdeen,"American, active c. 1935",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=7194
2006,Antonio,Abondio,"Italian, 1538 - 1591",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2006
2858,"Tancrède",Abraham,"French, 1836 - 1895",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2858
12430,Elie,Abrahami,"Iranian, born 1941",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=12430
33107,Albert,Abramovitz,"Russian, 1879 - 1963",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33107
34328,Ben,Abramowitz,"American, 1917 - 2011",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34328
34328,Benjamin,Abramowitz,"American, 1917 - 2011",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34328
2859,Ross,Abrams,"American, born 1920",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2859
7195,Ruth,Abrams,"American, active c. 1935",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=7195
2859,"William Ross",Abrams,"American, born 1920",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2859
2860,Nino,Abranos,"Italian, active 1955",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2860
22928,Angel,Abreu,"",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=22928
35991,Tomma,Abts,"German, born 1967",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=35991
2861,Rodolfo,Abularach,"Guatemalan, born 1933",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2861
7196,Nicholas,Acampora,"American, active c. 1935",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=7196
6509,Vito,Acconci,"American, born 1940",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6509
5566,"Johann von",Achen,"German, 1552 - 1615",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=5566
2862,Hans,Achenbach,"German, born 1891",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2862
2863,"Keith Anden",Achepohl,"American, born 1934",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2863
23963,Bogdan,Achimescu,"Romanian, born 1965",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=23963
26486,Max,Ackermann,"German, 1887 - 1975",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=26486
2864,"Rudolf Werner",Ackermann,"German, born 1908",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2864
6712,Norman,Ackroyd,"British, born 1938",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6712
11974,"Cristoforo dall'",Acqua,"Italian, 1734 - 1787",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=11974
34647,"Lillian E.",Acton,"American, born 1911",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=34647
6346,Adam,"","Unknown, active probably 18th century",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6346
35350,Franz,Adam,"German, 1815 - 1886",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=35350
2867,Henri-Georges,Adam,"French, 1904 - 1967",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2867
6925,Jacob,Adam,"Austrian, 1748 - 1811",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6925
11487,James,Adam,"British, 1732 - 1794",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=11487
6560,Robert,Adam,"British, 1728 - 1792",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6560
23937,Victor,Adam,"French, 1801 - 1866",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=23937
11486,William,Adam,"British, 1689 - 1748",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=11486
6032,Ansel,Adams,"American, 1902 - 1984",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6032
6032,"Ansel Easton",Adams,"American, 1902 - 1984",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6032
10111,"Ben Q.",Adams,"American, active 1970s",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=10111
2868,Clinton,Adams,"American, 1918 - 2002",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2868
26724,Herbert,Adams,"American, 1858 - 1945",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=26724
33110,"Jean Crawford",Adams,"American, 1884 - 1972",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=33110
5901,"Kenneth Miller",Adams,"American, 1897 - 1966",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=5901
16503,Robert,Adams,"American, born 1937",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=16503
16503,"Robert and Kerstin",Adams,"American, born 1937",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=16503
19938,Ron,Adams,"",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=19938
33111,Wayman,Adams,"American, 1883 - 1959",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=33111
13363,Robert,Adamson,"Scottish, 1821 - 1848",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=13363
34434,"Louis Emile",Adan,"French, 1839 - 1937",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=34434
25972,Craig,Adcock,"active second half 20th century",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=25972
2869,"Clifford Isaac",Addams,"American, 1876 - 1942",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=2869
34631,Lillian,Adelman,"American, 1899 - 1985",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=34631
28114,Luigi,Ademollo,"Italian, 1764 - 1849",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=28114
31179,"Bas Jan",Ader,"Dutch, 1942 - 1975",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=31179
36421,Jean,"Adhémar","French, 1908 - 1987",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=36421
6163,Henry,Adlard,"British, active 19th century",https://web.archive.org/web/20121010213047/http://www.nga.gov/cgi-bin/tsearch?artistid=6163
